# N             E       lndos(E)        epsilon     c_ges
256.000     -1488.000     -2058.684     -0.400     0.001
256.000     -1487.600     -2057.857     -0.400     0.001
256.000     -1487.200     -2057.048     -0.400     0.001
256.000     -1486.800     -2056.231     -0.400     0.001
256.000     -1486.400     -2055.419     -0.400     0.001
256.000     -1486.000     -2054.593     -0.400     0.001
256.000     -1485.600     -2053.790     -0.400     0.001
256.000     -1485.200     -2052.976     -0.400     0.001
256.000     -1484.800     -2052.156     -0.400     0.001
256.000     -1490.800     -2064.401     -0.400     0.001
256.000     -1491.200     -2065.223     -0.400     0.001
256.000     -1491.600     -2066.052     -0.400     0.001
256.000     -1492.000     -2066.858     -0.400     0.001
256.000     -1498.400     -2080.041     -0.400     0.001
256.000     -1498.000     -2079.216     -0.400     0.001
256.000     -1497.600     -2078.391     -0.400     0.001
256.000     -1497.200     -2077.571     -0.400     0.001
256.000     -1496.800     -2076.734     -0.400     0.001
256.000     -1496.400     -2075.911     -0.400     0.001
256.000     -1496.000     -2075.096     -0.400     0.001
256.000     -1484.400     -2051.350     -0.400     0.001
256.000     -1495.600     -2074.262     -0.400     0.001
256.000     -1494.800     -2072.618     -0.400     0.001
256.000     -1494.400     -2071.802     -0.400     0.001
256.000     -1494.000     -2070.977     -0.400     0.001
256.000     -1493.600     -2070.159     -0.400     0.001
256.000     -1493.200     -2069.347     -0.400     0.001
256.000     -1492.800     -2068.516     -0.400     0.001
256.000     -1492.400     -2067.688     -0.400     0.001
256.000     -1495.200     -2073.431     -0.400     0.001
256.000     -1468.400     -2018.934     -0.400     0.001
256.000     -1484.000     -2050.525     -0.400     0.001
256.000     -1483.200     -2048.909     -0.400     0.001
256.000     -1474.800     -2031.867     -0.400     0.001
256.000     -1474.400     -2031.055     -0.400     0.001
256.000     -1474.000     -2030.245     -0.400     0.001
256.000     -1473.600     -2029.461     -0.400     0.001
256.000     -1473.200     -2028.646     -0.400     0.001
256.000     -1472.800     -2027.841     -0.400     0.001
256.000     -1472.400     -2027.031     -0.400     0.001
256.000     -1472.000     -2026.231     -0.400     0.001
256.000     -1471.600     -2025.406     -0.400     0.001
256.000     -1471.200     -2024.616     -0.400     0.001
256.000     -1470.800     -2023.802     -0.400     0.001
256.000     -1470.400     -2022.985     -0.400     0.001
256.000     -1470.000     -2022.173     -0.400     0.001
256.000     -1469.600     -2021.374     -0.400     0.001
256.000     -1469.200     -2020.557     -0.400     0.001
256.000     -1475.200     -2032.667     -0.400     0.001
256.000     -1475.600     -2033.505     -0.400     0.001
256.000     -1476.000     -2034.297     -0.400     0.001
256.000     -1476.400     -2035.112     -0.400     0.001
256.000     -1482.800     -2048.077     -0.400     0.001
256.000     -1482.400     -2047.269     -0.400     0.001
256.000     -1482.000     -2046.462     -0.400     0.001
256.000     -1481.600     -2045.648     -0.400     0.001
256.000     -1481.200     -2044.853     -0.400     0.001
256.000     -1480.800     -2044.023     -0.400     0.001
256.000     -1480.400     -2043.208     -0.400     0.001
256.000     -1483.600     -2049.712     -0.400     0.001
256.000     -1480.000     -2042.405     -0.400     0.001
256.000     -1479.200     -2040.784     -0.400     0.001
256.000     -1478.800     -2039.948     -0.400     0.001
256.000     -1478.400     -2039.138     -0.400     0.001
256.000     -1478.000     -2038.328     -0.400     0.001
256.000     -1477.600     -2037.534     -0.400     0.001
256.000     -1477.200     -2036.723     -0.400     0.001
256.000     -1476.800     -2035.909     -0.400     0.001
256.000     -1479.600     -2041.598     -0.400     0.001
256.000     -1437.200     -1957.046     -0.400     0.001
256.000     -1436.800     -1956.277     -0.400     0.001
256.000     -1436.400     -1955.491     -0.400     0.001
256.000     -1396.400     -1901.101     -0.400     0.001
256.000     -1396.000     -1900.490     -0.400     0.001
256.000     -1395.600     -1899.872     -0.400     0.001
256.000     -1395.200     -1899.267     -0.400     0.001
256.000     -1394.800     -1898.662     -0.400     0.001
256.000     -1394.400     -1898.072     -0.400     0.001
256.000     -1394.000     -1897.455     -0.400     0.001
256.000     -1393.600     -1896.875     -0.400     0.001
256.000     -1393.200     -1896.257     -0.400     0.001
256.000     -1392.800     -1895.656     -0.400     0.001
256.000     -1392.400     -1895.042     -0.400     0.001
256.000     -1392.000     -1894.447     -0.400     0.001
256.000     -1391.600     -1893.843     -0.400     0.001
256.000     -1391.200     -1893.250     -0.400     0.001
256.000     -1390.800     -1892.653     -0.400     0.001
256.000     -1396.800     -1901.694     -0.400     0.001
256.000     -1397.200     -1902.315     -0.400     0.001
256.000     -1397.600     -1902.910     -0.400     0.001
256.000     -1398.000     -1903.532     -0.400     0.001
256.000     -1404.400     -1894.013     -0.400     0.001
256.000     -1404.000     -1893.246     -0.400     0.001
256.000     -1403.600     -1892.489     -0.400     0.001
256.000     -1403.200     -1891.735     -0.400     0.001
256.000     -1402.800     -1890.973     -0.400     0.001
256.000     -1402.400     -1890.223     -0.400     0.001
256.000     -1402.000     -1889.458     -0.400     0.001
256.000     -1390.400     -1892.038     -0.400     0.001
256.000     -1401.600     -1888.699     -0.400     0.001
256.000     -1400.800     -1887.194     -0.400     0.001
256.000     -1400.400     -1886.432     -0.400     0.001
256.000     -1400.000     -1885.664     -0.400     0.001
256.000     -1399.600     -1905.922     -0.400     0.001
256.000     -1399.200     -1905.330     -0.400     0.001
256.000     -1398.800     -1904.725     -0.400     0.001
256.000     -1398.400     -1904.127     -0.400     0.001
256.000     -1401.200     -1887.947     -0.400     0.001
256.000     -1404.800     -1894.786     -0.400     0.001
256.000     -1390.000     -1891.440     -0.400     0.001
256.000     -1389.200     -1890.239     -0.400     0.001
